id,clave,descripcion
catalogos_clave_prod_stcc160,205,Productos de panadería
catalogos_clave_prod_stcc161,206,Azúcar
catalogos_clave_prod_stcc162,2061,Prd y subproductos de molino de azúcar
catalogos_clave_prod_stcc163,20611,Azúcar crudo de caña y remolacha
catalogos_clave_prod_stcc164,20616,"Melazas de azúcar, exc blackstrap"
catalogos_clave_prod_stcc165,20617,Melaza
catalogos_clave_prod_stcc166,2062,Azúcar refinado de caña y remolacha
catalogos_clave_prod_stcc167,20625,Subproductos del refino de azúcar
catalogos_clave_prod_stcc168,20626,"Pulpa, melaza, remolacha"
catalogos_clave_prod_stcc169,207,Confitería y prd relacionados
catalogos_clave_prod_stcc170,208,Bebidas y extractos
catalogos_clave_prod_stcc171,20821,"Cerveza, ale, porter, grueso"
catalogos_clave_prod_stcc172,20823,Cerveceros granos gastados
catalogos_clave_prod_stcc173,2083,Malta
catalogos_clave_prod_stcc174,2084,"Vinos, brandy, licores"
catalogos_clave_prod_stcc175,20851,Licores destilados y mezclados
catalogos_clave_prod_stcc176,20859,Destilados de licor
catalogos_clave_prod_stcc177,2086,Refrescos enlatados
catalogos_clave_prod_stcc178,2087,Extractos misceláneos sin chocolate
catalogos_clave_prod_stcc179,209,Preparaciones alimenticias diversas
catalogos_clave_prod_stcc180,20911,Aceite de algodón
catalogos_clave_prod_stcc181,20914,Pastel o harina de semillas de algodón
catalogos_clave_prod_stcc182,20921,Aceite de soja
catalogos_clave_prod_stcc183,20923,Pastel o harina de soja
catalogos_clave_prod_stcc184,2093,Aceites vegetales y de nueces
catalogos_clave_prod_stcc185,2094,Grasas y aceites marinos
catalogos_clave_prod_stcc186,2095,Café tostado
catalogos_clave_prod_stcc187,2096,"Manteca, aceites de mesa, etc."
catalogos_clave_prod_stcc188,2097,"Hielo, natural o elaborado"
catalogos_clave_prod_stcc189,2098,"Macarrones, espaguetis, etc."
catalogos_clave_prod_stcc190,21,Productos de tabaco
catalogos_clave_prod_stcc191,211,Cigarrillos
catalogos_clave_prod_stcc192,212,Puros
catalogos_clave_prod_stcc193,213,Mascar y fumar tabaco
catalogos_clave_prod_stcc194,214,Tabaco despalillado y resecado
catalogos_clave_prod_stcc195,22,Productos textiles para fábricas
catalogos_clave_prod_stcc196,221,Tejidos anchos de algodón
catalogos_clave_prod_stcc197,222,Fibra y seda artificiales
catalogos_clave_prod_stcc198,223,Tejidos anchos de lana
catalogos_clave_prod_stcc199,224,Tejidos estrechos
catalogos_clave_prod_stcc200,225,Tejidos de punto
catalogos_clave_prod_stcc201,227,"Revestimientos de suelo, textiles"
catalogos_clave_prod_stcc202,228,Hilo e hilo
catalogos_clave_prod_stcc203,229,Productos textiles diversos
catalogos_clave_prod_stcc204,2296,Cordones y tejidos para neumáticos
catalogos_clave_prod_stcc205,2297,Lana y mohair
catalogos_clave_prod_stcc206,2298,Cordaje y bramante
catalogos_clave_prod_stcc207,23,Ropa y otros textiles acabados
catalogos_clave_prod_stcc208,231,Ropa para hombres y niños
catalogos_clave_prod_stcc209,233,"Ropa para mujeres, niñas y bebés"
catalogos_clave_prod_stcc210,235,"Sombrerería, sombreros y gorras"
catalogos_clave_prod_stcc211,237,Artículos de piel
catalogos_clave_prod_stcc212,238,Ropa y accesorios misceláneos
catalogos_clave_prod_stcc213,239,Textil fabricado misceláneo
catalogos_clave_prod_stcc214,24,Madera y productos de madera
catalogos_clave_prod_stcc215,241,Productos forestales primarios
catalogos_clave_prod_stcc216,24114,Troncos de madera para pasta
catalogos_clave_prod_stcc217,24115,Astillas de madera
catalogos_clave_prod_stcc218,24116,"Postes, postes y pilotes de madera"
catalogos_clave_prod_stcc219,242,Aserradero y cepillado prd
catalogos_clave_prod_stcc220,2421,Stock de madera y dimensiones
catalogos_clave_prod_stcc221,24212,Corbatas aserradas
catalogos_clave_prod_stcc222,2429,Varios aserradores y plng mill prd
catalogos_clave_prod_stcc223,243,"Carpintería, chapa, madera contrachapada"
catalogos_clave_prod_stcc224,2431,Carpintería
catalogos_clave_prod_stcc225,2432,Chapa y madera contrachapada
catalogos_clave_prod_stcc226,244,Contenedores de madera
catalogos_clave_prod_stcc227,249,Productos de madera diversos
catalogos_clave_prod_stcc228,2491,Madera creosotada o tratada con aceite
catalogos_clave_prod_stcc229,25,Muebles y Accesorios
catalogos_clave_prod_stcc230,251,Mobiliario de hogar y oficina
catalogos_clave_prod_stcc231,253,Edificio público y mobiliario rltd
catalogos_clave_prod_stcc232,254,"Tabiques, estanterías, taquillas"
catalogos_clave_prod_stcc233,259,Mobiliario y accesorios varios
catalogos_clave_prod_stcc234,26,Productos de pulpa y papel
catalogos_clave_prod_stcc235,261,Productos de pulpa y plantas de celulosa
catalogos_clave_prod_stcc236,26111,Pulpa
catalogos_clave_prod_stcc237,262,"Papel, excepto papel de construcción"
catalogos_clave_prod_stcc238,26211,Papel prensa
catalogos_clave_prod_stcc239,26212,"Papel para madera molida, sin revestimiento"
catalogos_clave_prod_stcc240,26213,Papel para imprimir
catalogos_clave_prod_stcc241,26214,Papel de regalo
catalogos_clave_prod_stcc242,26217,Papel industrial especial
catalogos_clave_prod_stcc243,26218,Stock de tejido sanitario
catalogos_clave_prod_stcc244,263,"Cartón, pulpbrd y fiberbrd"
catalogos_clave_prod_stcc245,264,Papel y papel convertidos brd prd
catalogos_clave_prod_stcc246,2643,Bolsas de papel
catalogos_clave_prod_stcc247,26471,Tejidos sanitarios / salud prd
catalogos_clave_prod_stcc248,265,Envases de cartón
catalogos_clave_prod_stcc249,266,Papel de construcción y cartón para edificios
catalogos_clave_prod_stcc250,26613,Tablero
catalogos_clave_prod_stcc251,27,Impresos
catalogos_clave_prod_stcc252,271,Periódicos
catalogos_clave_prod_stcc253,272,Publicaciones periódicas
catalogos_clave_prod_stcc254,273,Libros
catalogos_clave_prod_stcc255,274,Material impreso misceláneo
catalogos_clave_prod_stcc256,276,Formularios comerciales múltiples
catalogos_clave_prod_stcc257,277,"Tarjetas de felicitación, sellos, etiquetas."
catalogos_clave_prod_stcc258,278,"Libros en blanco, carpetas de hojas sueltas"
catalogos_clave_prod_stcc259,279,Productos de industrias de servicios
catalogos_clave_prod_stcc260,28,Químicos
catalogos_clave_prod_stcc261,281,"Productos químicos industriales, org / inorg"
catalogos_clave_prod_stcc262,2812,"Sodio, ptsm y otros químicos inorgánicos"
catalogos_clave_prod_stcc263,28123,"Sodio cpd, exc alcalinos"
catalogos_clave_prod_stcc264,2813,Gases industriales comprimidos
catalogos_clave_prod_stcc265,2814,Prd crudo de alquitrán de carbón
catalogos_clave_prod_stcc266,2816,Pigmentos inorgánicos
catalogos_clave_prod_stcc267,2818,Sustancias químicas orgánicas diversas
catalogos_clave_prod_stcc268,28184,Alcoholes
catalogos_clave_prod_stcc269,2819,Varios productos químicos de inorg industriales
catalogos_clave_prod_stcc270,28193,Ácido sulfurico
catalogos_clave_prod_stcc271,282,Plásticos y resinas sintéticas
catalogos_clave_prod_stcc272,28212,Caucho sintético
catalogos_clave_prod_stcc273,28213,Fibras sintéticas
catalogos_clave_prod_stcc274,283,Medicamentos y farmacéuticos prd
catalogos_clave_prod_stcc275,284,Preparaciones de limpieza y jabón
catalogos_clave_prod_stcc276,2841,Jabón y otros detergentes
