id,clave,descripcion
catalogos_materiales_peligrosos72,M0072,"HEXANITRATO DE MANITOL (NITROMANITA) HUMEDECIDO con un mínimo del 40 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",
catalogos_materiales_peligrosos73,M0073,"FULMINATO DE MERCURIO HUMEDECIDO con un mínimo del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",
catalogos_materiales_peligrosos74,M0074,MINAS con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos75,M0075,MINAS con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos76,M0076,MINAS con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos77,M0077,"NITROGLICERINA DESENSIBILIZADA con un mínimo del 40 %, en masa, de flemador no volátil insoluble en agua (Producto o material explosivo)",
catalogos_materiales_peligrosos78,M0078,NITROGLICERINA EN SOLUCIÓN ALCOHÓLICA con más del 1 % pero no más del 10 % de nitroglicerina (Producto o material explosivo),
catalogos_materiales_peligrosos79,M0079,"NITROALMIDÓN seco o humedecido con menos del 20 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos80,M0080,NITROUREA (Producto o material explosivo),
catalogos_materiales_peligrosos81,M0081,"TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA; TNPE) HUMEDECIDO con un mínimo del 25 %, en masa, de agua, o TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA; TNPE) DESENSIBILIZADO con un mínimo del 15 %, en masa, de flemador (Producto o material explosivo)",
catalogos_materiales_peligrosos82,M0082,"PENTOLITA seca o humedecida con menos del 15 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos83,M0083,TRINITROANILINA (PICRAMIDA) (Producto o material explosivo),
catalogos_materiales_peligrosos84,M0084,"TRINITROFENOL (ÁCIDO PÍCRICO) seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos85,M0085,TRINITROCLOROBENCENO (CLORURO DE PICRILO) (Producto o material explosivo),
catalogos_materiales_peligrosos86,M0086,"GALLETA DE PÓLVORA HUMEDECIDA con un mínimo del 25 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos87,M0087,PÓLVORA SIN HUMO (Producto o material explosivo),
catalogos_materiales_peligrosos88,M0088,PÓLVORA SIN HUMO (Producto o material explosivo),
catalogos_materiales_peligrosos89,M0089,PROYECTILES con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos90,M0090,PROYECTILES con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos91,M0091,PROYECTILES con carga explosiva (Producto o material explosivo),
